"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";Schadstoff;"Art der Auswertung";Datum;Uhrzeit;Messwert;Einheit
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";21.01.2023;-;9;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";22.01.2023;-;9;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";23.01.2023;-;16;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";24.01.2023;-;24;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";25.01.2023;-;16;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";26.01.2023;-;9;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";27.01.2023;-;7;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";28.01.2023;-;5;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";29.01.2023;-;13;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";30.01.2023;-;7;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";31.01.2023;-;5;µg/m³
